Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
-0.31377636,-2.912183272,-2.421603906,0.006015653,0.004187577,0.009955753,1,0,1,1,12
-0.421443649,-2.8983966,-2.43014773,0.006438719,0.004339216,0.010189972,2,2.07,1,1,12
-0.510167972,-2.853896714,-2.501130223,0.005948973,0.003967113,0.009276618,3,4.14,1,1,12
-0.551718591,-2.856476916,-2.459359702,0.005259995,0.003572868,0.008416775,4,6.21,1,1,12
-0.649743114,-2.79028739,-2.505768312,0.004677698,0.003185418,0.007510918,5,8.28,1,1,12
-0.680016455,-2.780508835,-2.466746317,0.005462309,0.003648563,0.008537993,6,10.35,1,1,12
-0.811796934,-2.637804085,-2.458304279,0.00385802,0.002605295,0.006123189,7,12.42,1,1,12
-0.929609961,-2.573504543,-2.392527521,0.005175966,0.003648536,0.008714,8,14.49,1,1,12
-0.939145428,-2.482217505,-2.439463262,0.00500782,0.003492854,0.00831112,9,16.56,1,1,12
-0.921231472,-2.476363187,-2.495760148,0.006432594,0.00443952,0.010522233,10,18.63,1,1,12
-1.069377193,-2.451232455,-2.463764384,0.003719633,0.00261267,0.006232428,11,20.7,1,1,12
-1.162764489,-2.528080405,-2.506185634,0.004541284,0.003308957,0.007991598,12,22.77,1,1,12
-1.404496278,-2.596755747,-2.434395551,0.003117358,0.002331543,0.005677409,13,24.84,1,1,12
-1.490937505,-2.556971062,-2.384689649,0.002682292,0.002027974,0.004954232,14,26.91,1,1,12
-1.526825971,-2.472921742,-2.455424958,0.002587697,0.001987187,0.004875898,15,28.98,1,1,12
-1.509607049,-2.470451662,-2.32020675,0.002579029,0.002020117,0.004983787,16,31.05,1,1,12
-1.496265549,-2.392583565,-2.326201229,0.003767172,0.002960009,0.007308858,17,33.12,1,1,12
-1.49356147,-2.416696259,-2.375590767,0.004603278,0.003604774,0.008892743,18,35.19,1,1,12
-1.468147086,-2.427638294,-2.398009869,0.003954061,0.003139295,0.007772637,19,37.26,1,1,12
-1.446971176,-2.366980412,-2.414654265,0.005253868,0.004237674,0.010534232,20,39.33,1,1,12
-1.38762139,-2.384111967,-2.434302151,0.003045029,0.002425364,0.006008729,21,41.4,1,1,12
-1.347527214,-2.400327168,-2.395538327,0.004636302,0.003697962,0.009166727,22,43.47,1,1,12
-1.299119088,-2.478335668,-2.382614585,0.00612951,0.004814351,0.011886591,23,45.54,1,1,12
-1.232499518,-2.383480494,-2.428711803,0.006350261,0.005043506,0.012487638,24,47.61,1,1,12
-1.14536773,-2.489161767,-2.298308826,0.006259632,0.005046191,0.012542258,25,49.68,1,1,12
