Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,2,2.07,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,3,4.14,1,1,11
-0.487841118,1.593812686,-2.133863988,0.008392237,0.008342479,0.021414573,4,6.21,1,1,11
-0.568567552,1.53902238,-2.14096036,0.007216736,0.007150088,0.018425657,5,8.28,1,1,11
-0.59093639,1.633972853,-2.064747939,0.008809168,0.009026064,0.02274287,6,10.35,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,7,12.42,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,8,14.49,1,1,11
-0.692150787,1.53915107,-2.179097274,0.007283804,0.007236479,0.01873077,9,16.56,1,1,11
-0.515949208,1.467268091,-2.213881065,0.006828755,0.00682639,0.017691715,10,18.63,1,1,11
-0.336403983,1.388327976,-2.321871016,0.005543437,0.005542909,0.014365063,11,20.7,1,1,11
-0.235005708,1.2930018,-2.35848026,0.00677107,0.006767864,0.017538432,12,22.77,1,1,11
-0.153661962,1.343499297,-2.412178539,0.008514337,0.008513729,0.022064483,13,24.84,1,1,11
-0.092840018,1.285062441,-2.464989109,0.008040866,0.008041006,0.020840005,14,26.91,1,1,11
-0.014491577,1.321089836,-2.478417122,0.006422185,0.006414852,0.016621888,15,28.98,1,1,11
0.031684643,1.37506032,-2.423390676,0.006121537,0.006020598,0.015588009,16,31.05,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,17,33.12,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,18,35.19,1,1,11
0.293338106,1.421904824,-2.532043519,0.007020921,0.007071471,0.018114469,19,37.26,1,1,11
0.407570282,1.464618349,-2.500929892,0.010667162,0.010573714,0.027365382,20,39.33,1,1,11
0.443272878,1.435082791,-2.425801279,0.007927105,0.007839738,0.020284057,21,41.4,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,22,43.47,1,1,11
NaN,NaN,NaN,NaN,NaN,NaN,23,45.54,1,1,11
0.585140434,1.366128016,-2.285420195,0.006059399,0.00632129,0.015705626,24,47.61,1,1,11
0.622563298,1.344517926,-2.222768052,0.007354135,0.007334182,0.018855124,25,49.68,1,1,11
0.718365463,1.386392408,-2.094270596,0.0090612,0.009042894,0.023406504,26,51.75,1,1,11
0.650500621,1.341660102,-2.061258979,0.006582388,0.006563254,0.017000292,27,53.82,1,1,11
0.626529718,1.280512856,-2.059552922,0.010705162,0.01063332,0.027529856,28,55.89,1,1,11
0.5673353,1.351222395,-2.110091611,0.011414382,0.011320622,0.029304279,29,57.96,1,1,11
0.488205247,1.437627238,-2.094553437,0.013146964,0.013069744,0.033841917,30,60.03,1,1,11
0.444494798,1.485895255,-2.148674086,0.015208211,0.015074623,0.03901815,31,62.1,1,1,11
0.514882756,1.480236626,-2.122850358,0.011670678,0.011604919,0.030044573,32,64.17,1,1,11
0.442753688,1.486968218,-2.160389124,0.013574933,0.013549341,0.035098206,33,66.24,1,1,11
0.4037633,1.510838194,-2.19022201,0.010726676,0.010716868,0.02776082,34,68.31,1,1,11
0.328607532,1.504724514,-2.25844369,0.009197949,0.00921463,0.023853773,35,70.38,1,1,11
0.227449655,1.490486506,-2.230114785,0.009832652,0.009851341,0.025490047,36,72.45,1,1,11
0.22975608,1.484914999,-2.218489567,0.009671308,0.009699371,0.025077103,37,74.52,1,1,11
0.260754225,1.43618267,-2.189410687,0.008693533,0.008705342,0.022537468,38,76.59,1,1,11
0.377578068,1.459914065,-2.021136,0.009630061,0.009505203,0.024581192,39,78.66,1,1,11
0.264621698,1.481959098,-2.039383589,0.007895106,0.007765265,0.020082347,40,80.73,1,1,11
0.18732029,1.522457003,-2.1375608,0.007525374,0.007427105,0.019224196,41,82.8,1,1,11
0.129192493,1.459553595,-2.162775741,0.007298621,0.007112343,0.018364221,42,84.87,1,1,11
0.101940306,1.472390107,-2.054191221,0.007798303,0.007572976,0.019539268,43,86.94,1,1,11
0.054427458,1.466904535,-2.035669811,0.011659064,0.011399407,0.029442802,44,89.01,1,1,11
-0.004666041,1.444379821,-2.006076281,0.012865696,0.012749779,0.032999879,45,91.08,1,1,11
-0.068094394,1.460153989,-2.045716847,0.010759284,0.01064299,0.027538703,46,93.15,1,1,11
-0.165610391,1.59263062,-2.003055462,0.009361955,0.009253834,0.023963771,47,95.22,1,1,11
-0.244670331,1.529289925,-1.979574615,0.009377301,0.009273905,0.024003778,48,97.29,1,1,11
-0.295896418,1.532163014,-1.94909369,0.008962185,0.008852081,0.022905764,49,99.36,1,1,11
