,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,88,180.09,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,89,182.16,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,90,184.23,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,91,186.3,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,92,188.37,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,93,190.44,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,94,192.51,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,95,194.58,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,96,196.65,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,97,198.72,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,98,200.79,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,99,202.86,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,100,204.93,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,101,207,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,102,209.07,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,103,211.14,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,104,213.21,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,105,215.28,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,106,217.35,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,107,219.42,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,108,221.49,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,109,223.56,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,110,225.63,1,1,17
0.652643557,0.851306801,-4.763857934,0.003089155,0.003116672,0.008095992,111,227.7,1,1,17
0.583047313,0.840468066,-4.754983672,0.003723647,0.003703301,0.009728939,112,229.77,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,113,231.84,1,1,17
0.587012218,0.82792498,-4.622302006,0.003948125,0.003884043,0.010229037,114,233.91,1,1,17
0.647958753,0.746016815,-4.561204069,0.003756813,0.003673344,0.009657988,115,235.98,1,1,17
0.585404375,0.642210335,-4.542406766,0.005817189,0.005756843,0.015017601,116,238.05,1,1,17
0.615974342,0.667256013,-4.449598444,0.004664508,0.004641376,0.012028033,117,240.12,1,1,17
0.567837467,0.732884758,-4.462503447,0.004616223,0.004580959,0.011865403,118,242.19,1,1,17
0.560300032,0.777745435,-4.498332007,0.004135036,0.004107559,0.01063836,119,244.26,1,1,17
0.629123369,0.730440729,-4.496909254,0.004129087,0.004094526,0.010598344,120,246.33,1,1,17
0.653708256,0.723715659,-4.487355818,0.004519224,0.004452444,0.011513805,121,248.4,1,1,17
0.637659849,0.808646714,-4.510484823,0.004361847,0.00430933,0.01114854,122,250.47,1,1,17
0.720162662,0.879037515,-4.489081338,0.004317242,0.004260411,0.011019052,123,252.54,1,1,17
0.732992843,0.869581479,-4.521766673,0.004600481,0.004550059,0.011771978,124,254.61,1,1,17
0.732044797,0.881223112,-4.447544217,0.004481079,0.004431658,0.011466683,125,256.68,1,1,17
0.726940424,0.844951934,-4.54170163,0.004928511,0.004882455,0.012635736,126,258.75,1,1,17
0.867081787,0.884073444,-4.416155106,0.005767296,0.005707619,0.014768719,127,260.82,1,1,17
0.844031003,0.864108818,-4.546866273,0.00509552,0.005057754,0.013092834,128,262.89,1,1,17
0.777538503,0.822941647,-4.544841984,0.004424763,0.004421612,0.011458006,129,264.96,1,1,17
0.775926866,0.791889382,-4.512367458,0.00492476,0.004922599,0.012756446,130,267.03,1,1,17
0.858871424,0.851897259,-4.52981013,0.004820099,0.004814413,0.012474179,131,269.1,1,1,17
0.910738042,0.90855389,-4.56056695,0.005089079,0.005073274,0.01314209,132,271.17,1,1,17
0.864544445,0.935876016,-4.506134357,0.004846757,0.004831582,0.012515351,133,273.24,1,1,17
0.918062104,0.870181894,-4.515809369,0.004725033,0.004706589,0.012189944,134,275.31,1,1,17
1.004918837,0.900409999,-4.591812542,0.004612934,0.004589063,0.01188336,135,277.38,1,1,17
1.076755016,0.997000624,-4.622023215,0.004990809,0.004949283,0.012806721,136,279.45,1,1,17
1.093637602,0.894695079,-4.524036411,0.003295455,0.003291091,0.008461272,137,281.52,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,138,283.59,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,139,285.66,1,1,17
1.085720719,0.926059913,-4.680035738,0.002208227,0.002316762,0.005835883,140,287.73,1,1,17
1.084948662,0.794222813,-4.591796435,0.002633507,0.002662065,0.006813354,141,289.8,1,1,17
1.08994652,0.823613243,-4.664679388,0.002715443,0.002701085,0.006965212,142,291.87,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,143,293.94,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,144,296.01,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,145,298.08,1,1,17
1.277926601,0.761530206,-4.569925903,0.00448365,0.004414786,0.011414494,146,300.15,1,1,17
1.27843683,0.443529621,-4.277187016,0.004583531,0.004512998,0.011668622,147,302.22,1,1,17
1.276956974,0.499523262,-4.463028118,0.004169933,0.004101757,0.010603866,148,304.29,1,1,17
1.352207214,0.456142506,-4.385897686,0.003129304,0.003064731,0.007917519,149,306.36,1,1,17
1.341954642,0.432177419,-4.396174079,0.003419636,0.003339317,0.008624317,150,308.43,1,1,17
1.349226577,0.359613256,-4.453175298,0.003885447,0.003775317,0.009756746,151,310.5,1,1,17
1.239174881,0.290924313,-4.402555258,0.005291237,0.0053674,0.013413653,152,312.57,1,1,17
1.372431206,0.381033198,-4.527966281,0.004596483,0.004349754,0.011287239,153,314.64,1,1,17
1.296338856,0.453487159,-4.64091557,0.005385603,0.005113821,0.013200503,154,316.71,1,1,17
1.233406331,0.360806595,-4.467409647,0.005614466,0.005251267,0.013713342,155,318.78,1,1,17
1.311955618,0.386493398,-4.461226767,0.00515758,0.004801588,0.012629956,156,320.85,1,1,17
1.276422685,0.388525642,-4.406138732,0.004047833,0.00371454,0.00949182,157,322.92,1,1,17
1.11582212,0.337646555,-4.310124963,0.00581761,0.005459432,0.0143091,158,324.99,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,159,327.06,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,160,329.13,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,161,331.2,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,162,333.27,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,163,335.34,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,164,337.41,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,165,339.48,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,166,341.55,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,167,343.62,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,168,345.69,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,169,347.76,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,170,349.83,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,171,351.9,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,172,353.97,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,173,356.04,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,174,358.11,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,175,360.18,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,176,362.25,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,177,364.32,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,178,366.39,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,179,368.46,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,180,370.53,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,181,372.6,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,182,374.67,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,183,376.74,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,184,378.81,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,185,380.88,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,186,382.95,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,187,385.02,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,188,387.09,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,189,389.16,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,190,391.23,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,191,393.3,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,192,395.37,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,193,397.44,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,194,399.51,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,195,401.58,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,196,403.65,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,197,405.72,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,198,407.79,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,199,409.86,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,200,411.93,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,201,414,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,202,416.07,1,1,17
