Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,2,2.07,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,3,4.14,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,4,6.21,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,5,8.28,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,6,10.35,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,7,12.42,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,8,14.49,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,9,16.56,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,10,18.63,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,11,20.7,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,12,22.77,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,13,24.84,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,14,26.91,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,15,28.98,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,16,31.05,1,1,25
-0.117383612,-4.234512901,-0.444720088,0.005379328,0.005312651,0.01373248,17,33.12,1,1,25
-0.098815753,-4.125515204,-0.464009878,0.004784639,0.004716998,0.012128385,18,35.19,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,19,37.26,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,20,39.33,1,1,25
-0.249914926,-4.17648462,-0.398829306,0.00439077,0.004326678,0.01121973,21,41.4,1,1,25
-0.246928241,-4.257578953,-0.421697582,0.005363395,0.005315627,0.013943686,22,43.47,1,1,25
-0.373948149,-4.269254019,-0.247570369,0.004959353,0.004901273,0.012677905,23,45.54,1,1,25
-0.437179322,-4.289258166,-0.234650107,0.004002528,0.003906876,0.010087895,24,47.61,1,1,25
-0.431469463,-4.273379724,-0.232414661,0.003605502,0.003556274,0.009197438,25,49.68,1,1,25
-0.419657569,-4.217091656,-0.229081473,0.005451714,0.005403469,0.013985631,26,51.75,1,1,25
-0.412637174,-4.21048261,-0.276113394,0.006476203,0.006411075,0.016590257,27,53.82,1,1,25
-0.482739396,-4.270175474,-0.27324065,0.006127966,0.006090107,0.015769141,28,55.89,1,1,25
-0.498939799,-4.237017109,-0.32765702,0.004576844,0.004556799,0.011800563,29,57.96,1,1,25
-0.509848529,-4.276743568,-0.365763706,0.003829605,0.003796551,0.009823741,30,60.03,1,1,25
-0.542400126,-4.377426248,-0.398791515,0.004570565,0.004518751,0.011687523,31,62.1,1,1,25
-0.521549699,-4.450831356,-0.330286646,0.004518562,0.004472306,0.011572337,32,64.17,1,1,25
-0.659355526,-4.416404009,-0.409846975,0.00500629,0.004982491,0.012899118,33,66.24,1,1,25
-0.649535464,-4.432976535,-0.313447743,0.004843473,0.004824748,0.0127011,34,68.31,1,1,25
-0.881694197,-4.406195146,-0.239613636,0.004175747,0.004149761,0.011329244,35,70.38,1,1,25
NaN,NaN,NaN,NaN,NaN,NaN,36,72.45,1,1,25
-1.033254658,-4.426799617,-0.292250522,0.004199091,0.004183933,0.011702257,37,74.52,1,1,25
-1.112985314,-4.430879505,-0.277460021,0.004040205,0.004026408,0.010927381,38,76.59,1,1,25
-1.169286168,-4.396416888,-0.269948044,0.003632836,0.003626987,0.009441543,39,78.66,1,1,25
-1.235563767,-4.433670131,-0.346126294,0.003865013,0.003857485,0.0100058,40,80.73,1,1,25
-1.187835224,-4.469594983,-0.335495314,0.003836185,0.003834818,0.009934943,41,82.8,1,1,25
-1.235767964,-4.423152294,-0.217726661,0.003863897,0.003863698,0.010011671,42,84.87,1,1,25
-1.290644653,-4.317174096,-0.289445096,0.0051902,0.005183471,0.013428565,43,86.94,1,1,25
-1.143048533,-4.28049881,-0.401216849,0.005559997,0.005555409,0.014396944,44,89.01,1,1,25
-1.2716726,-4.227061636,-0.358893809,0.006198375,0.006196732,0.016053057,45,91.08,1,1,25
-1.274227895,-4.275799292,-0.273920232,0.006574073,0.006569245,0.017017414,46,93.15,1,1,25
-1.399856072,-4.319832777,-0.205228364,0.006488394,0.006487404,0.016810656,47,95.22,1,1,25
-1.370225457,-4.255758476,-0.154144389,0.006894761,0.006893408,0.017864965,48,97.29,1,1,25
-1.436362532,-4.197595184,-0.16728886,0.003980072,0.003980043,0.010314753,49,99.36,1,1,25
-1.431966818,-4.207712695,-0.15609528,0.003995753,0.003995419,0.01035459,50,101.43,1,1,25
-1.44379485,-4.140505027,-0.089798324,0.003308212,0.003307997,0.008573146,51,103.5,1,1,25
-1.31051026,-4.063796302,-0.059290587,0.003961725,0.003957555,0.010255059,52,105.57,1,1,25
-1.238363484,-4.114847974,-0.018292804,0.00573386,0.005733721,0.014859733,53,107.64,1,1,25
-1.120596122,-4.100222587,-0.031881555,0.006395938,0.006395929,0.016576803,54,109.71,1,1,25
-1.037198051,-4.136888704,-0.024002884,0.006100154,0.006098828,0.015805697,55,111.78,1,1,25
-1.124394016,-4.199988805,-0.018429463,0.006511486,0.00650734,0.01686403,56,113.85,1,1,25
-1.092218989,-4.286823764,0.012470066,0.005564668,0.00555103,0.014381418,57,115.92,1,1,25
-1.073588656,-4.23756206,0.015930961,0.006284186,0.006264784,0.016228564,58,117.99,1,1,25
-1.077638679,-4.185152171,-0.076549622,0.00697484,0.006940179,0.017973218,59,120.06,1,1,25
